Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
28,BUNGAL,49.89,645,695,640.2,694,694,0,0,668.72,"103,420.00",640.00,"69,159,198.20","1,442",54,54.8,8.44,8.56,3.64,695,302.40,
29,C30MF,31.18,9.35,9.73,9.35,9.73,9.73,0,0.00,9.63,"18,400.00",9.54,"177,213.00",9,0.19,0.38,1.99,4.06,1.02,10.71,8.65,
30,CBBL,26.55,916.00,919.00,900.00,910.90,910.9,0,0.00,909.43,"24,298.00",916.00,"22,097,340.10",289,-5.1,19,-0.56,2.11,0.16,"1,144.80",821.50,
31,CBLD88,25.83,"1,220.00","1,223.00","1,220.00","1,223.00","1,223.00",0,0,"1,221.50",50,"1,240.00","61,075.00",2,-17,3,-1.37,0.25,0.12,"1,265.00","1,104.50",
32,CFCL,33.92,475,475,470,475,475,0,0,473.08,"5,931.00",471.30,"2,805,824.80",56,3.7,5,0.79,1.06,0.4,701,445.10,
33,CGH,40.6,850,869.2,850,860,860,0,0,862.76,"13,193.00",855.00,"11,382,355.30",127,5,19.2,0.58,2.26,-0.32,"1,150.00",800.2,
34,CHCL,25.64,473.90,473.90,468.00,470.20,470.2,0,0.00,469.98,"23,284.00",470.50,"10,942,964.80",168,-0.3,5.9,-0.06,1.26,0.05,599.60,456.00,
35,CHDC,39.76,"2,250.00","2,265.00","2,223.30","2,246.50","2,246.50",0,0,"2,246.61","21,715.00","2,230.00","48,785,107.50",205,16.5,41.7,0.74,1.88,0,"2,997.90","1,560.00",
36,CHL,42.15,253.00,259.20,252.20,257.00,257,0,0.00,256.09,"27,681.00",254.20,"7,088,929.70",164,2.8,7,1.1,2.78,0.35,599.70,223.40,
37,CIT,30.3,"1,781.00","1,809.00","1,770.50","1,770.50","1,770.50",0,0,"1,780.70","14,342.00","1,753.14","25,538,864.40",459,17.36,38.5,0.99,2.17,-0.58,"2,200.00","1,730.80",
38,CITY,37.98,468.00,475.80,465.50,472.30,472.3,0,0.00,472.49,"13,451.00",468.80,"6,355,496.00",142,3.5,10.3,0.75,2.21,-0.04,998.40,464.00,
39,CKHL,39.83,645.9,671,645.9,663.9,663.9,0,0,659.09,"4,900.00",659.00,"3,229,560.30",90,4.9,25.1,0.74,3.89,0.72,910,550,
40,CLI,35.28,464.8,468,461.4,467,467,0,0,464.93,"32,647.00",464.80,"15,178,535.70",441,2.2,6.6,0.47,1.43,0.44,774.9,411,
41,CMF2,30.89,9.38,9.43,9.31,9.32,9.32,0,0,9.35,"1,425.00",9.25,"13,323.00",6,0.07,0.12,0.76,1.29,-0.32,10.86,8.64,
42,CORBL,37.97,"1,565.10","1,599.90","1,565.10","1,590.00","1,590.00",0,0.00,"1,583.58","3,421.00","1,587.00","5,417,417.70",76,3,34.8,0.19,2.22,0.40,"2,842.30","1,431.00",
43,CREST,46.73,"1,220.00","1,275.00","1,215.00","1,274.00","1,274.00",0,0.00,"1,257.98","36,693.00","1,225.00","46,159,073.90",689,49,60,4,4.94,1.26,"2,458.20",302.50,
44,CYCL,29.42,"1,550.00","1,569.00","1,519.00","1,540.00","1,540.00",0,0.00,"1,530.52","6,210.00","1,570.00","9,504,547.40",116,-30,50,-1.91,3.29,0.62,"2,040.00","1,462.00",
