Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032901092915,SOHL,35,49,10.0,725.0,7250.0
2026032901092914,SOHL,35,56,10.0,725.0,7250.0
2026032901092913,SOHL,57,55,10.0,724.1,7241.0
2026032901092912,SOHL,57,54,10.0,724.1,7241.0
2026032901092440,SOHL,49,34,10.0,724.0,7240.0
2026032901092439,SOHL,58,45,10.0,724.9,7249.0
2026032901092438,SOHL,58,48,10.0,724.9,7249.0
2026032901092437,SOHL,49,58,10.0,724.0,7240.0
2026032901092436,SOHL,49,11,10.0,724.0,7240.0
2026032901092270,NBL,32,42,100.0,280.0,28000.0
2026032901092269,SOHL,58,42,10.0,724.0,7240.0
2026032901092268,NBL,42,48,100.0,279.7,27970.0
2026032901092267,BHCL,60,43,130.0,591.0,76830.0
2026032901092266,SOHL,58,49,20.0,724.0,14480.0
2026032901092265,NIMB,50,85,80.0,216.0,17280.0
2026032901092264,KBL,34,14,87.0,232.3,20210.100000000002
2026032901092263,KBL,66,14,413.0,232.3,95939.90000000001
2026032901092262,SOHL,58,45,10.0,724.0,7240.0
2026032901090761,SOHL,42,100,10.0,725.0,7250.0
2026032901090760,SOHL,42,46,10.0,725.0,7250.0
2026032901090759,SOHL,42,49,10.0,725.0,7250.0
2026032901090758,SOHL,42,58,10.0,725.0,7250.0
2026032901090757,SOHL,42,58,10.0,725.0,7250.0
2026032901090756,SOHL,42,58,10.0,725.0,7250.0
2026032901090755,SOHL,42,49,10.0,725.0,7250.0
2026032901090754,SOHL,42,22,10.0,725.0,7250.0
2026032901090753,SOHL,42,58,10.0,725.0,7250.0
2026032901090752,SOHL,42,58,10.0,725.0,7250.0
2026032901090751,SOHL,42,51,10.0,725.0,7250.0
2026032901090750,SOHL,42,34,10.0,725.0,7250.0
2026032901090749,SOHL,42,59,10.0,725.0,7250.0
2026032901090748,SOHL,42,58,10.0,725.0,7250.0
